job_id,asset_id,crew_id,start_time,end_time,job_type,shift_type,planned_deenergize,checklist_passed,supervisor_confirmed,crew_avg_experience_years,recent_hours_worked_48h,asset_voltage_level,asset_age_years,maintenance_last_days,region_hotspot_score,incidents_area_30d,weather_precip_1h,lightning_nearby_1h,V_rms_mean_5m,V_rms_std_5m,V_slope_5m,frequency_dev_std_5m,V_drop_count_15m,I_rms_mean_5m,I_inrush_count_1h,thd_percent_1h,arc_event_count_1h,ground_fault_flag_24h,transformer_temp_max_24h,leakage_current_max_24h,sensor_comm_loss_flag,incident_flag,severity,near_miss_flag
J1000,A263,C38,2025-03-26 16:38:00,2025-03-26 17:57:00,inspection,day,1,1,1,2.2,17.4,22,56,70,0.232,0,0.0,0,21991,100,-0.644,0.0214,0,11.1,0,4.56,0,0,62.7,0.25,0,0,none,0
J1001,A106,C199,2025-04-12 23:47:00,2025-04-13 01:44:00,maintenance,night,0,1,1,4.8,27.0,11,10,184,0.057,0,0.0,0,11431,21,-0.722,0.0415,0,12.4,1,4.31,0,0,64.5,1.57,0,0,none,0
J1002,A170,C72,2025-04-02 14:52:00,2025-04-02 16:57:00,repair,day,0,1,1,2.6,14.8,33,9,103,0.198,0,0.0,0,32695,21,-0.939,0.0269,0,13.0,0,3.15,0,0,58.0,1.13,0,0,none,0
J1003,A157,C45,2025-09-12 01:18:00,2025-09-12 02:30:00,repair,night,0,1,0,8.9,6.0,22,3,289,0.313,0,0.0,0,22066,133,-0.001,0.0391,0,47.7,0,1.28,0,0,52.3,0.74,0,0,none,0
J1004,A288,C36,2025-06-29 23:38:00,2025-06-30 00:45:00,maintenance,night,1,1,0,0.5,11.8,66,2,130,0.127,0,1.29,0,66109,17,0.177,0.0159,1,73.1,0,2.84,0,0,63.6,0.32,0,0,none,0
J1005,A273,C199,2025-03-25 05:59:00,2025-03-25 07:08:00,inspection,night,1,1,1,10.3,12.8,66,6,111,0.157,0,0.0,0,65447,54,0.31,0.0262,0,56.5,0,3.44,0,0,63.4,0.68,0,0,none,0
J1006,A239,C32,2025-03-18 13:48:00,2025-03-18 16:12:00,maintenance,day,1,1,1,11.5,5.5,11,17,152,0.056,0,0.0,0,10899,42,-0.531,0.0535,0,67.7,1,3.14,0,0,60.0,0.41,0,0,none,0
J1007,A251,C118,2025-05-25 08:52:00,2025-05-25 10:33:00,repair,day,0,1,0,7.6,22.7,66,14,94,0.134,0,0.0,0,66212,74,-0.173,0.0159,0,90.9,1,6.68,0,0,70.5,0.46,1,0,none,0
J1008,A108,C17,2025-02-08 02:46:00,2025-02-08 03:50:00,maintenance,night,1,1,0,4.0,13.2,132,8,129,0.331,0,0.0,0,131885,7,-0.699,0.018,1,62.1,1,4.17,0,0,51.7,0.48,0,0,none,0
J1009,A123,C65,2025-04-06 08:57:00,2025-04-06 10:13:00,repair,day,0,1,1,9.4,18.2,11,3,224,0.481,0,0.0,0,11293,58,0.069,0.0374,1,72.8,0,1.02,0,0,66.2,0.63,0,0,none,0
J1010,A159,C139,2025-10-26 21:30:00,2025-10-26 23:47:00,repair,night,0,1,1,8.6,2.5,132,7,143,0.014,0,0.0,0,132145,133,-0.643,0.0292,0,80.6,2,1.04,0,0,62.7,0.05,0,0,none,0
J1011,A254,C16,2025-03-02 18:18:00,2025-03-02 18:55:00,emergency,day,0,1,0,4.9,23.4,11,9,239,0.486,0,0.0,0,11489,9,-0.538,0.0026,2,36.2,0,1.94,0,0,53.8,1.29,0,0,none,0
J1012,A243,C60,2025-09-18 07:51:00,2025-09-18 09:22:00,inspection,day,1,1,1,6.0,13.5,33,14,26,0.084,0,0.0,0,33039,71,-0.679,0.0371,0,39.6,1,3.41,0,0,57.9,0.02,0,0,none,0
J1013,A283,C176,2025-09-27 18:28:00,2025-09-27 20:14:00,inspection,day,1,1,0,4.9,22.2,11,1,156,0.26,0,0.3,0,11117,96,0.219,0.022,1,48.9,0,3.56,0,0,69.8,1.0,0,0,none,0
J1014,A279,C149,2025-05-02 16:03:00,2025-05-02 17:49:00,repair,day,0,1,1,5.7,12.3,132,14,84,0.556,0,0.0,0,131872,53,0.165,0.0077,0,31.3,0,1.51,0,0,63.9,0.55,0,0,none,0
J1015,A207,C66,2025-05-13 20:55:00,2025-05-13 22:22:00,maintenance,night,0,1,1,7.0,12.2,11,2,1,0.157,0,0.0,0,10729,19,0.1,0.0243,0,57.0,0,4.25,0,0,53.5,0.5,1,0,none,0
J1016,A214,C160,2025-07-13 04:07:00,2025-07-13 05:51:00,maintenance,night,0,1,0,5.7,5.1,11,6,142,0.062,0,0.0,0,11003,58,1.053,0.0141,0,61.8,0,3.94,0,0,55.7,1.75,0,0,none,0
J1017,A171,C11,2025-01-29 12:50:00,2025-01-29 14:31:00,emergency,day,0,1,0,10.0,15.2,66,17,58,0.181,0,0.0,0,66045,162,0.937,0.0107,1,88.6,2,2.78,0,0,69.8,2.38,0,0,none,0
J1018,A294,C50,2025-08-17 17:25:00,2025-08-17 20:35:00,emergency,day,0,1,1,5.6,7.7,11,4,145,0.153,1,0.0,0,11148,139,0.686,0.0291,0,47.2,0,2.25,0,0,66.8,1.0,0,0,none,0
J1019,A278,C118,2025-02-15 00:20:00,2025-02-15 01:11:00,repair,night,0,1,0,8.0,14.4,11,24,474,0.21,0,0.0,0,11176,173,0.956,0.033,0,62.6,2,2.27,0,0,57.0,0.29,0,0,none,0
J1020,A187,C81,2025-07-02 13:53:00,2025-07-02 14:26:00,maintenance,day,1,1,1,4.0,25.6,11,5,173,0.533,0,0.0,0,11018,43,0.29,0.0408,0,33.9,0,3.28,0,0,57.3,0.66,0,0,none,0
J1021,A139,C65,2025-08-12 12:39:00,2025-08-12 14:20:00,repair,day,0,1,1,8.4,4.1,11,6,107,0.171,0,1.42,0,11221,73,0.42,0.0055,1,23.9,0,3.52,0,0,60.9,0.46,0,0,none,0
